feature	jsd
CDCA7	0.0697166090133716
ENTPD8	0.0656792610275367
APOD	0.0626603593055321
TAT	0.0616555510442881
CYP4F12	0.0591755061604781
WDR72	0.0590489959457061
GZMB	0.0567326785008096
SERPINA3	0.0560427378380732
MLPH	0.0551974905193863
GPM6A	0.0545902668706774
C6orf141	0.0545684114350456
NCCRP1	0.0542432166949602
PLIN5	0.0526224201766325
MS4A1	0.0516754495639772
SYT1	0.0511991290866484
BLK	0.0507844406979482
C2orf82	0.0491110870053632
IDO1	0.0478817382763662
MYEOV	0.0476265453371841
TNN	0.0470273384469303
PLA2G2D	0.0468397836519033
TTC36	0.0463879281406429
SLC44A4	0.0459023802139313
CD1A	0.0450341851370159
PLCH1	0.0431285251126765
C1orf173	0.0429914687687888
CLIC6	0.0429268698322651
FOXJ1	0.0427836347020474
PIGR	0.0427121777860649
PXDNL	0.0421116667305915
C2orf40	0.0420940644479897
PDZK1	0.0416066417422839
LRP1B	0.0397752213851198
KLHDC7B	0.0391290175519937
CD79A	0.0382751562411987
S100B	0.0378462757077198
MIA	0.0374880150650541
CES1	0.0374268772769552
ACTL8	0.0373257312354749
POU2AF1	0.0361947553245706
LOC100130148	0.0361926558371144
CD19	0.0356974757190126
CHIT1	0.0355632999042351
ROPN1B	0.0354912223826129
CPA4	0.0353764572413438
LOC100128977	0.0352322859062341
KCNK1	0.0345235367450979
SUSD3	0.0342221253010673
CAPN8	0.0338126933366514
UPF0639	0.0329464737814725
LAMC2	0.032908493254572
SLC4A10	0.0326547528512195
SLC28A3	0.032575037538723
NKAIN1	0.0324189880409985
WDR17	0.0321538077733783
GLRA3	0.0316125858138354
CRISP3	0.0314347501144212
UBD	0.0313946225602084
IYD	0.031308959399065
CCNO	0.0304912928825527
WNK4	0.0300202063068675
FCRL3	0.0298688217302263
SP5	0.0295680535040667
TUBA3E	0.0293572478360031
LTB	0.0293096595161206
ADCY1	0.0278642321259784
ADAM6	0.0276160525053023
ANXA8L2	0.0271023538419266
SERPINA5	0.0267677047126313
RBP4	0.0259939873865975
MGC29506	0.0259267202440123
C4BPA	0.0256691309701338
RGS22	0.025573487247544
CXCL13	0.0254166344849814
CCL19	0.025005716496443
FGFBP1	0.0232065302368596
GREB1L	0.0230691347679142
FLT3	0.0229436936312773
KCNJ3	0.0224733627323064
LRRN1	0.0221162211854526
KRT5	0.0220142778902985
CD207	0.0218811293649296
ORM2	0.0207721649930924
CDH19	0.0205216391323247
CASP14	0.0199777337243238
LOC100271831	0.0177210197991135
PCDHGB1	0.0173678209281374
KCNH1	0.0164506767103876
PCSK2	0.0160549599723863
C20orf85	0.0139784245879483
SPDYC	0.0114681046172499
MCCD1	0.0103416008702405
L1CAM	0.0675299492469572
DOK7	0.057929925476391
TFF1	0.0575669433888918
SLC27A2	0.0573597947848592
PAX7	0.0514944418561434
IVL	0.0451647246368091
CWH43	0.0395695155682299
NEK10	0.0389912509994125
ALOX15B	0.0389179261704796
KRT15	0.0385982386413474
BEX1	0.0345194688898924
PHGR1	0.0341395975418539
DAPL1	0.0315268936972586
KRT14	0.0296618520444442
GZMK	0.0283388878896171
CXCL1	0.0268099220891364
IGSF1	0.0260729414853171
DLGAP1	0.0249631922486686
FABP6	0.0244884942830579
PTPRZ1	0.023809151722593
MGAM	0.0236013537535455
TTYH1	0.0227890541265904
CGA	0.0199224244797254
DCD	0.0148804555279241
TNNI3	0.050010849904224
HPN	0.0436936565120079
FUT3	0.0400259842871797
COL17A1	0.0359647461495807
LOC96610	0.0303095593671026
NME5	0.0299793222362347
WT1	0.0260266783026156
KCNK15	0.0252159113601615
TFPI2	0.0469391109513727
FCRL5	0.035841166595252
STC2	0.0334000442931899
TUBA3D	0.0251396842029552
ZIC2	0.0752426459356437
IGJ	0.0729332669809911
CXCL9	0.0693173441567061
TCN1	0.0683506771883877
CST1	0.0668275584538222
CST4	0.0661047239605163
NXNL2	0.0622124267428792
ELOVL2	0.0527508088579399
C8orf84	0.051704114067203
CYP4F11	0.0503882089348533
SLC7A4	0.0477485901738088
CHAD	0.0475755523848075
ZNF385B	0.0470080956978859
SERPINA11	0.0452113624485237
CAMK2B	0.0444262753131398
SCUBE2	0.0440950405158223
CLEC10A	0.0436390031101681
C1orf168	0.0435747384235739
CDH7	0.0435186570938477
CST2	0.0425329849391585
FABP7	0.0418866856463519
CYP24A1	0.041880866169712
B4GALNT2	0.0414620094161127
IGFALS	0.0412143402782892
DNAH11	0.0411079680805317
EMX1	0.040575903215007
NPY1R	0.0402686128300401
COL9A3	0.0398577564218641
ALOX15	0.0397889788366104
GLB1L2	0.0397108333177862
KRT6B	0.0374208202519702
PSCA	0.0372701975249912
CFB	0.0370116118179651
TP63	0.0364966670660007
RP1	0.0362927236411683
SCNN1B	0.0357617428093421
SLC1A1	0.0357263080509144
CLGN	0.0353494466131081
CHST9	0.0351400478760747
CHRNA9	0.0342337869525467
HDC	0.0340556209731425
PLA2G10	0.0327894746415154
VWA2	0.0325927224686689
TNFRSF17	0.0320269791718904
GSDMC	0.0316043500930343
P2RY11	0.0309293126943529
KIAA0125	0.0299795513271805
ZMYND10	0.0290247511211962
CLEC3A	0.02884561166304
CHRM1	0.0278058867599621
TPRG1	0.0274882918175261
TOX3	0.0269072368077251
KRT17	0.0268741641389897
SYT8	0.0262767060590584
GNG4	0.0259779266769886
ECEL1	0.0256478478304847
CALML3	0.0252890247132499
TUBB2B	0.0250896119757076
PEG3	0.0247075758186417
CHGA	0.0245428536555711
MLC1	0.0243902730199872
SOX11	0.024008972417795
CD38	0.0236289210225449
LOC728606	0.0217069968404388
GLYATL2	0.0215058006424893
GP2	0.0213158704613606
SPINK8	0.0190055551115151
COCH	0.0188555317119216
HOXC13	0.0177746650078885
PRAME	0.0177488456988634
MMP12	0.016456080481449
FGFR3	0.0133176949590152
