file_id	file_name	data_type	data_category	data_format	experimental_strategy	workflow_type	access	file_size	case_id	sample_id	sample_type	tissue_type
98957329-01f6-4939-9fc3-2d541a680cb0	TCGA-BRCA.c7976361-e689-44f1-9e5a-2a07064f2f95.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445707	TCGA-AR-A1AR	TCGA-AR-A1AR-10A	Blood Derived Normal	Normal
0e2f56f1-0284-412b-86a1-e33d4cac081e	TCGA-BRCA.73792381-9fcb-4a9f-b192-9eb30f94a4fa.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445466	TCGA-AN-A0XR	TCGA-AN-A0XR-01A	Primary Tumor	Tumor
0e2f56f1-0284-412b-86a1-e33d4cac081e	TCGA-BRCA.73792381-9fcb-4a9f-b192-9eb30f94a4fa.ascat3.gene_level_copy_number.v36.tsv	Gene Level Copy Number	Copy Number Variation	TSV	Genotyping Array	ASCAT3	open	3445466	TCGA-AN-A0XR	TCGA-AN-A0XR-10A	Blood Derived Normal	Normal
3ee97e99-0a97-461e-affb-cf3c9152005c	SHAWM_p_TCGAb72_SNP_N_GenomeWideSNP_6_C08_698096.nocnv_grch38.seg.v2.txt	Masked Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	10591	TCGA-AR-A0TR	TCGA-AR-A0TR-01A	Primary Tumor	Tumor
7176927b-334f-4e16-b67a-335d95e222ed	SHUCK_p_TCGAb74and75_SNP_N_GenomeWideSNP_6_E04_730996.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	47006	TCGA-AN-A0XR	TCGA-AN-A0XR-01A	Primary Tumor	Tumor
1a4fea2e-132f-489d-8ee6-d9a0ec615f53	e4411582-e9d0-4816-a5ee-5eef14d82877.mirbase21.mirnas.quantification.txt	miRNA Expression Quantification	Transcriptome Profiling	TXT	miRNA-Seq	BCGSC miRNA Profiling	open	50003	TCGA-AN-A0FN	TCGA-AN-A0FN-01A	Primary Tumor	Tumor
55017c47-82a5-463c-9fea-11e4c2082257	TCGA-AR-A0TR-01A-11D-A893-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	139076	TCGA-AR-A0TR	TCGA-AR-A0TR-10A	Blood Derived Normal	Normal
55017c47-82a5-463c-9fea-11e4c2082257	TCGA-AR-A0TR-01A-11D-A893-36.WholeGenome.RP-1657.cr.igv.reheader.seg.txt	Copy Number Segment	Copy Number Variation	TXT	WGS	GATK4 CNV	open	139076	TCGA-AR-A0TR	TCGA-AR-A0TR-01A	Primary Tumor	Tumor
8c121412-4595-4635-b3e0-6229ac2fb096	GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_G02_778008.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	27758	TCGA-EW-A1PD	TCGA-EW-A1PD-10A	Blood Derived Normal	Normal
8053c482-17e6-4880-8ba4-1db214f6410f	GOOFS_p_TCGA_b117_118_SNP_N_GenomeWideSNP_6_E09_778096.grch38.seg.v2.txt	Copy Number Segment	Copy Number Variation	TXT	Genotyping Array	DNAcopy	open	31260	TCGA-EW-A1PD	TCGA-EW-A1PD-01A	Primary Tumor	Tumor
