feature	jsd
MIMAT0026718	0.1257219570968625
MIMAT0026734	0.11282093979046354
MIMAT0016847	0.11138990963091541
MIMAT0003393	0.10710099933400477
MIMAT0003321	0.1021959541263662
MIMAT0000437	0.10025823703993741
MIMAT0000243	0.09669988346581251
MIMAT0019943	0.09621266439561557
MIMAT0002881	0.09543356827071962
MIMAT0015020	0.09326474438646261
MIMAT0003250	0.08880618448324773
MIMAT0000752	0.08850883799765057
MIMAT0019894	0.0880988997898822
MIMAT0004700	0.08745453560509175
MIMAT0001635	0.08486554374657934
MIMAT0004606	0.08438799331659756
MIMAT0004983	0.08406609291800894
MIMAT0000281	0.08292792506408703
MIMAT0019696	0.08184445577605984
MIMAT0003260	0.08059799117543448
MIMAT0002821	0.08045355209879504
MIMAT0022696	0.08002015655038376
MIMAT0000279	0.07976469351478041
MIMAT0000078	0.07904941202333311
MIMAT0000423	0.0782628671752064
MIMAT0005793	0.07818147031915741
MIMAT0021026	0.07794285605946862
MIMAT0003218	0.07739677203212339
MIMAT0004949	0.07679768940152354
MIMAT0002876	0.07651949329899914
MIMAT0003273	0.07576550840389325
MIMAT0003309	0.07553989553056348
MIMAT0004797	0.0750850473113077
MIMAT0003885	0.07447442028600045
MIMAT0000258	0.07433670446858039
MIMAT0004496	0.07426100590477275
MIMAT0004600	0.07370301980780553
MIMAT0004550	0.07345711125703369
MIMAT0018962	0.07315715120844382
MIMAT0000450	0.07314337537276469
MIMAT0019963	0.07234462979896383
MIMAT0004498	0.07149824051440712
MIMAT0001080	0.07138079703867153
MIMAT0000685	0.07127567113541514
MIMAT0000255	0.07054151039973691
MIMAT0002890	0.0703314141420929
MIMAT0003258	0.0698752617383348
MIMAT0015075	0.06980022207667042
MIMAT0005950	0.06969702546831053
MIMAT0000102	0.06966142085654303
MIMAT0026477	0.06938420937107764
MIMAT0022709	0.06915753108411618
MIMAT0000453	0.06902221129849498
MIMAT0000415	0.06881589652886355
MIMAT0004601	0.06749146401659765
MIMAT0004564	0.06737570498056801
MIMAT0009198	0.06663085692842334
MIMAT0022727	0.06623679085154938
MIMAT0002823	0.06619531582574952
MIMAT0018102	0.06611681552615103
MIMAT0000756	0.06582625861576857
MIMAT0000256	0.0657695106984631
MIMAT0004557	0.06368227925351563
MIMAT0002819	0.06366581316916958
MIMAT0002870	0.06278834045721962
MIMAT0026472	0.06278271159012416
MIMAT0009199	0.06259392172679332
MIMAT0022925	0.06203595331239953
MIMAT0000444	0.061476052585196436
MIMAT0004678	0.061381168651390816
MIMAT0018101	0.06071884669738657
MIMAT0000681	0.06034034452763106
MIMAT0024598	0.060290097400581555
MIMAT0004614	0.060283496092265104
MIMAT0018205	0.06009824572731963
MIMAT0004603	0.06005465243157896
MIMAT0001639	0.05997723167792727
MIMAT0002883	0.059941533338572855
MIMAT0019776	0.05986922128881479
MIMAT0000439	0.05978184162744129
MIMAT0017987	0.05961766488555656
MIMAT0000089	0.059455274291047494
MIMAT0022975	0.05924812274751744
MIMAT0000261	0.05904525891367293
MIMAT0021044	0.05881045184852228
MIMAT0017352	0.05872984360724447
MIMAT0027467	0.05862241265639183
MIMAT0004805	0.058425366442229815
MIMAT0019746	0.05839424846828543
MIMAT0001636	0.058325467196927036
MIMAT0006790	0.058126300108249915
MIMAT0019927	0.05811176332554284
MIMAT0000419	0.05803045612113776
MIMAT0025474	0.057765014596513925
MIMAT0004792	0.0577184572283929
MIMAT0026921	0.05769141048939702
MIMAT0000318	0.057611167914311236
MIMAT0003330	0.05725286150784983
MIMAT0000087	0.056862433961132844
MIMAT0000099	0.05651503217233832
MIMAT0002807	0.05598053554692786
MIMAT0004609	0.05588521958729171
MIMAT0000510	0.05586582544011387
MIMAT0000278	0.055381317176056065
MIMAT0020959	0.05522508452915498
MIMAT0000720	0.05510909424710596
