feature	jsd
FUT10	0.04988390318491372
PEBP4	0.04862936137389566
RNA5SP262	0.04458654814925986
UBXN8	0.04419826673175967
RNA5SP261	0.043726780403391036
MTUS1	0.041699503711618166
LINC00959	0.039024149352278645
MIR1208	0.038753823886127664
EBF3	0.03495309215727808
RNA5SP316	0.034141082805175804
AGAP8	0.034141082805175804
MSMB	0.034141082805175804
AGAP7	0.034141082805175804
SNORA74|ENSG00000223182.1	0.034141082805175804
FAM25D	0.034141082805175804
FAM21D	0.034141082805175804
TIMM23B	0.034141082805175804
UNC5D	0.0338905222247972
ZNF644	0.032805897314332685
SNORA40|ENSG00000210825.1	0.031015508538662466
SNORD6	0.031015508538662466
SNORA18|ENSG00000207145.1	0.031015508538662466
MIR1304	0.031015508538662466
SNORA8|ENSG00000207304.1	0.031015508538662466
SNORA32|ENSG00000206799.1	0.031015508538662466
SCARNA9	0.031015508538662466
SNORA25|ENSG00000207112.1	0.031015508538662466
RNA5SP452	0.03033667207405727
SNORD126	0.029968100443128524
CCNB1IP1	0.029968100443128524
HRH4	0.029871087863062175
MIR320C2	0.029871087863062175
IMPACT	0.029805482971903142
OR11H4	0.0293003544586753
TTC5	0.0293003544586753
ANKRD30B	0.029267974063391655
RN7SL662P	0.029267974063391655
ROCK1	0.029267974063391655
snoU13|ENSG00000238666.1	0.02914754392680652
NPS	0.028993241322235914
MCPH1	0.028278852746094624
KRR1	0.02783005640951576
GLIPR1	0.02783005640951576
RN7SL362P	0.02747363343786087
SNORD112|ENSG00000252728.1	0.02736926053621115
ZMYM6NB	0.02725564983842914
ZMYM6	0.02725564983842914
CYR61	0.02720413048252751
PRKCH	0.027120998702499094
SNORA2|ENSG00000199959.1	0.027008592060200162
SLC38A6	0.026358597480441434
TENM3	0.02601227124855071
KCNC2	0.02499529406373649
RNA5SP175	0.02494750944229797
DUX4L4	0.02494750944229797
ZFP42	0.02494750944229797
FRG2	0.02494750944229797
HSP90AA4P	0.02494750944229797
RNA5SP174	0.02494750944229797
FRG1	0.02494750944229797
TRIML1	0.02494750944229797
DUX4L7	0.02494750944229797
DUX4L2	0.02494750944229797
DUX4L3	0.02494750944229797
DUX4L5	0.02494750944229797
DUX4L6	0.02494750944229797
TRIML2	0.02494750944229797
DUX4	0.02494750944229797
SNORA70|ENSG00000252258.1	0.024834596637566833
RUNX1	0.024771321154563326
FOXO3	0.02475719167889734
PRSS23	0.024421909392678284
ATXN7L3B	0.02418710337562907
NOV	0.02360667519639044
MIR1261	0.023537583872579204
HTRA1	0.022884961538349118
ARMS2	0.022884961538349118
FOLH1B	0.02284726967273637
ZNF703	0.022841286812594976
KRT25	0.02257157729458739
STK11	0.022413971589850326
TACC2	0.022321319125477405
RNU6ATAC11P	0.022270399706141086
NAV3	0.02212105449245029
C6orf99	0.02205490886590708
OSTCP1	0.02205490886590708
NADSYN1	0.02162146175713245
VTCN1	0.0212871114652749
LINC00466	0.021261091657878997
FRG2C	0.021008530735830408
RN7SL92P	0.021008530735830408
MIR4273	0.021008530735830408
MIR1324	0.021008530735830408
ZNF717	0.021008530735830408
LINC00960	0.021008530735830408
FAM86DP	0.021008530735830408
OMA1	0.020922723991890782
SCAF8	0.020806364853761576
SNORA73|ENSG00000253090.1	0.020515729792609856
ENGASE	0.020443984221802325
LTBP4	0.020137434610522358
RN7SL758P	0.020137434610522358
SHKBP1	0.020137434610522358
NGFR	0.020104861477899034
GNGT2	0.019893440135968977
DPP8	0.019692132054363463
IGDCC4	0.019692132054363463
IGDCC3	0.019692132054363463
AUTS2	0.019617680156683373
SUMF1	0.019538723956798724
KANK4	0.019466467221707036
IL23R	0.01935477309974706
MGAT4C	0.019343143432575732
RMST	0.01925799465396163
RN7SL222P	0.019213925328789405
ABCA6	0.019102495874713146
BIRC2	0.018184941337401492
BIRC3	0.018184941337401492
YAP1	0.018184941337401492
ANKRD26P1	0.018124664835360654
KIAA1598	0.018033442291584108
C12orf40	0.01775715649217604
snoU13|ENSG00000238544.1	0.017699324012472692
PEX7	0.017612949345464243
NKD1	0.017539126602110183
ATRNL1	0.017519066226660635
IDO2	0.017399225753253887
DHX34	0.017316793863659648
TCN1	0.01704345366193935
VDAC2	0.01683332274082372
OR13F1	0.016775362762342542
OR13C4	0.016775362762342542
MIR4739	0.01675604729680103
snoU13|ENSG00000252071.1	0.016694472333408452
C21orf33	0.016306501990805224
PWP2	0.016306501990805224
MIR137HG	0.0162487173339648
MIR3664	0.016125685024344562
RIN3	0.01608009143118065
CCND2	0.01590674211654465
ATP11A	0.015822124169626722
ADAM2	0.01564703385637553
PCF11	0.015598407801366329
RAP2B	0.015575371555188108
CNTN6	0.015560297472430472
RN7SL120P	0.015560297472430472
CHL1	0.015560297472430472
RN7SKP144	0.015560297472430472
SV2B	0.015401994599564602
IDS	0.015323619422803804
