feature	jsd
MIMAT0000072	0.6586480460067267
MIMAT0004929	0.6322621880610162
MIMAT0000070	0.5632778715819774
MIMAT0000758	0.561230614776775
MIMAT0002876	0.546456147387029
MIMAT0004977	0.5434723541720039
MIMAT0004784	0.5411294584704675
MIMAT0004672	0.519748404044498
MIMAT0002891	0.5173651821680295
MIMAT0019850	0.5145429778178203
MIMAT0003242	0.5130529988295986
MIMAT0003150	0.4986331086017545
MIMAT0004985	0.4933902721872692
MIMAT0000073	0.486213033027279
MIMAT0004776	0.4752342387689709
MIMAT0004680	0.46112878863841655
MIMAT0000680	0.4588516453018296
MIMAT0000731	0.45592633922895587
MIMAT0000092	0.4535633445577541
MIMAT0005951	0.4499677318521074
MIMAT0000093	0.4478899062658404
MIMAT0003258	0.4456944020408487
MIMAT0000691	0.44067587761057486
MIMAT0000075	0.4271245202074742
MIMAT0000227	0.4254450745537303
MIMAT0004697	0.42515018314140357
MIMAT0003249	0.41998380287145953
MIMAT0022487	0.4177119634669067
MIMAT0002872	0.4085392046632644
MIMAT0000071	0.4075529399685916
MIMAT0004774	0.39780554927727413
MIMAT0015085	0.3949676233610189
MIMAT0022483	0.3872400050607902
MIMAT0004698	0.38527206091784993
MIMAT0002871	0.3848048564726784
MIMAT0000732	0.384214618561125
MIMAT0005797	0.38393730579245466
MIMAT0001635	0.3839218812468745
MIMAT0002888	0.38312691769733237
MIMAT0004949	0.38003702659248795
MIMAT0022726	0.3742196690678717
MIMAT0004780	0.3730506218476452
MIMAT0004586	0.3719596208669682
MIMAT0004550	0.3714040105161229
MIMAT0003241	0.37062475988061466
MIMAT0004611	0.3697124476398433
MIMAT0019761	0.36754041545197874
MIMAT0004515	0.36562387105372723
MIMAT0004801	0.3647833504322941
MIMAT0000087	0.3643691719367083
MIMAT0018110	0.3622352983472111
MIMAT0000456	0.3616445437274363
MIMAT0004493	0.3531343352976168
MIMAT0000281	0.3528888652933711
MIMAT0016925	0.35169294589597205
MIMAT0018965	0.3502809851587588
MIMAT0028227	0.349110559822611
MIMAT0019880	0.34885523471767615
MIMAT0000279	0.3478351705655729
MIMAT0004773	0.3441159283665114
MIMAT0004491	0.344044860428135
MIMAT0001636	0.34398780717847166
MIMAT0000728	0.3439243756531531
MIMAT0000088	0.33522833343535097
MIMAT0006789	0.3342488187637633
MIMAT0005950	0.3331231264956797
MIMAT0000772	0.3322445944139659
MIMAT0004958	0.33201258314911414
MIMAT0000254	0.3247904040639341
MIMAT0000457	0.3247718728110605
MIMAT0004509	0.32443864188845234
MIMAT0004484	0.3233036298907475
MIMAT0000253	0.31503515776236596
MIMAT0005452	0.30874702590856257
MIMAT0001541	0.30807086904118575
MIMAT0004613	0.3076050852826714
MIMAT0003880	0.3028510521457764
MIMAT0004980	0.2990375140247898
MIMAT0000081	0.29774303888571446
MIMAT0000080	0.2970266820181573
MIMAT0004775	0.29517192061697534
MIMAT0000065	0.2928793919975579
MIMAT0004673	0.2910583320438253
MIMAT0000762	0.2895457472187089
MIMAT0004694	0.2886470107202433
MIMAT0018101	0.2878386025066022
MIMAT0000267	0.28473787885151775
MIMAT0004569	0.2844964795252842
MIMAT0000449	0.28427637817806617
MIMAT0003256	0.2832166314228041
MIMAT0000074	0.2821613462209326
MIMAT0003338	0.2808383368336222
MIMAT0000705	0.2807600821174282
MIMAT0000099	0.2805667288936088
MIMAT0019957	0.28019245687982397
MIMAT0000442	0.27924980304965613
MIMAT0000441	0.27911922940509276
MIMAT0019918	0.2780744040150672
MIMAT0022727	0.27569248775643257
MIMAT0003888	0.2750447468541609
MIMAT0015045	0.27386286044473057
MIMAT0000096	0.27355380437794885
MIMAT0000688	0.2688957914398657
MIMAT0022696	0.2681527093421698
MIMAT0004503	0.26751823449636863
MIMAT0000693	0.26480027624191044
MIMAT0004549	0.26353749051548764
